LOTID,CREATIONDATE,MODIFICATIONDATE,MISCOTHERCOST,FEEDCOST,PROCESSINGCOST,VETCOST,RAILERWT,RAILERHEADCOUNT,RAILERSALES,CATTLECOST,TOTALPAYWTIN,TOTALOFFTRUCKWT,SEXTYPELOT,HEADINLOT,FEEDYARDPHONE,STARTPERIOD,ENDPERIOD
S209044,29/07/2020,10/09/2021,2713.7,126065.57,2341.11,1298.6,1830,3,333,40164.17,36740,36780,X,117,509-547-8864,29/07/2020,00:00.0
S209047,09/08/2020,10/09/2021,3212.39,252330.47,4540.65,983.61,1400,2,626.54,122918.81,82405,80470,X,225,509-547-8864,09/08/2020,00:00.0
S207052,21/06/2020,27/01/2021,414.63,48101.11,849.93,480.46,1150,1,276.25,0.01,94492,91670,NULL,100,509-547-8864,21/06/2020,00:00.0
S209040,01/07/2020,07/06/2021,2931.72,173130.17,2043.68,1106.2,3020,3,756.25,145013.51,154977,152720,X,210,509-547-8864,01/07/2020,00:00.0
S209049,11/08/2020,30/09/2021,2343.84,192479.95,2595.63,1017.13,1010,1,245,61832.47,58066,56020,X,165,509-547-8864,11/08/2020,00:00.0
S209050,20/08/2020,07/06/2021,3021.76,163067.5,2082.15,349.71,900,1,93.5,143965.02,153644,151920,X,210,509-547-8864,20/08/2020,00:00.0
S209032,14/05/2020,28/07/2021,3051.7,221985.57,4818.98,2105.75,2940,3,1669.4,91576.56,78735,77810,X,218,509-547-8864,14/05/2020,00:00.0
S209037,09/06/2020,28/07/2021,5289.18,282013.64,5601.39,2308.67,3250,3,2073.81,87901.2,90926,88870,X,256,509-547-8864,09/06/2020,00:00.0
S209500,03/08/2020,07/06/2021,3154.53,173816.22,3404.68,714.13,1480,2,232,156230.05,120544,119404,HF,220,509-547-8864,03/08/2020,00:00.0
S206139,01/06/2020,27/01/2021,1467.68,139047.79,2250.45,350.2,1260,1,303.75,260340.6,185830,173470,HF,213,509-547-8864,01/06/2020,00:00.0
S206196,30/08/2020,20/03/2021,2904.69,53640.62,998.84,139.14,1000,1,194,120373.35,109930,108110,HF,113,509-547-8864,30/08/2020,00:00.0
S206257,15/11/2020,27/07/2021,2020.21,121077.35,7801.78,1037.92,550,1,129,133285.71,101915,94210,HF,164,509-547-8864,15/11/2020,00:00.0
S208111,15/11/2020,01/07/2021,1706.96,102755.92,6350.14,1139.47,1740,3,407.25,125289.84,91125,84260,ST,138,509-547-8864,15/11/2020,00:00.0
S209063,17/11/2020,28/01/2022,3268.4,269127.05,3766.37,911.8,2630,4,787.39,101329.33,85365,82630,X,220,509-547-8864,17/11/2020,00:00.0
S206259,20/11/2020,29/07/2021,1362.65,79586.16,5041.76,321.21,920,1,830.29,88772.44,66576,60470,HF,114,509-547-8864,20/11/2020,00:00.0
S208114,22/11/2020,27/07/2021,901.34,63438.85,3005.61,531.62,960,1,576.46,67779.64,46640,43130,ST,76,509-547-8864,22/11/2020,00:00.0
S209705,06/12/2020,03/12/2021,1577.82,147450.25,1711.74,1743.27,3000,4,1982.72,90769.58,67200,65460,NULL,147,509-547-8864,06/12/2020,00:00.0
S206265,06/12/2020,01/07/2021,1318.01,89770.68,6160.99,573.69,570,1,128,123602.64,97293,89990,HF,127,509-547-8864,06/12/2020,00:00.0
S207136,08/12/2020,08/09/2021,687.08,51776.69,1273.38,550.77,980,1,292.5,0.01,39275,38420,NULL,67,509-547-8864,08/12/2020,00:00.0
S219708,12/01/2021,22/04/2022,2086.15,214871.78,2319.04,1488.84,1330,2,1338.46,121679.83,86758,84569,NULL,198,509-547-8864,12/01/2021,00:00.0
S209064,18/11/2020,08/09/2021,2527.58,177189.23,2161.06,585.35,2060,2,1289.86,141774.37,154370,152170,X,210,509-547-8864,18/11/2020,00:00.0
S219076,19/01/2021,19/04/2022,2967.08,232907.71,4196.55,1220.38,16850,15,12375.37,89210,78297,76661,X,187,509-547-8864,19/01/2021,00:00.0
S218018,16/02/2021,07/09/2021,238.95,95474.32,6128.95,947.07,1890,2,1568.24,162876.18,116805,107530,ST,138,509-547-8864,16/02/2021,00:00.0
S206261,29/11/2020,03/06/2021,3073.28,185162.15,2716.37,699.88,660,1,190,317300.35,242830,227540,HF,277,509-547-8864,29/11/2020,00:00.0
S206267,07/12/2020,27/07/2021,400.88,26020.71,1424.74,884.63,2090,4,418,0.01,25139,24890,HF,40,509-547-8864,07/12/2020,00:00.0
S207141,17/12/2020,07/09/2021,1546.07,127415.17,7605.83,1026.15,1400,2,244.25,0.02,89440,89440,NULL,167,509-547-8864,17/12/2020,00:00.0
S217005,12/01/2021,27/07/2021,1341.02,143944.67,9525.96,1202.82,2050,2,1771.91,213805.3,166648,153635,NULL,210,509-547-8864,12/01/2021,00:00.0
S216013,20/01/2021,29/09/2021,787.32,132659.61,6435.01,442.84,610,1,131,138776.11,105004,101160,HF,156,509-547-8864,20/01/2021,00:00.0
S217015,31/01/2021,21/04/2022,215.46,48282.56,2377.63,738.37,830,1,491.33,0.01,35590,35590,NULL,57,509-547-8864,31/01/2021,00:00.0
S209065,02/12/2020,08/09/2021,2260.15,184750.37,2289.32,722.53,3480,4,2113.79,134330.34,149097,147580,X,210,509-547-8864,02/12/2020,00:00.0
S209066,03/12/2020,30/12/2021,9972.99,247569.22,3830.2,1139.18,6300,7,3443.02,85273.44,92920,85720,X,219,509-547-8864,03/12/2020,00:00.0
S206264,06/12/2020,07/09/2021,882.2,65923.28,3602.09,401.99,890,2,126.25,66156.89,48838,45240,HF,86,509-547-8864,06/12/2020,00:00.0
S206262,06/12/2020,08/09/2021,875.08,58083.93,929.34,1294.49,2030,3,441,69328.71,46686,47980,NH,84,509-547-8864,06/12/2020,00:00.0
S208128,13/12/2020,08/09/2021,787.63,55415.17,748.19,1036.51,600,1,176.25,73374.84,47646,46970,NS,79,509-547-8864,13/12/2020,00:00.0
S216012,19/01/2021,03/12/2021,865.52,146487.03,5672.96,229.28,1900,2,1560.3,113176.99,83375,76970,HF,138,509-547-8864,19/01/2021,00:00.0
S207139,17/12/2020,01/07/2021,998.96,73624.96,4998.54,990.64,690,1,192.5,92509.05,77570,75970,NULL,107,509-547-8864,17/12/2020,00:00.0
S218004,13/01/2021,08/09/2021,690.25,81416.27,4567.22,1043.98,650,1,113.25,124186.97,89706,87628,ST,114,509-547-8864,13/01/2021,00:00.0
S207130,25/11/2020,01/07/2021,3351.9,59067.97,1300,983.29,620,1,140,69576.6,57030,57030,NULL,82,509-547-8864,25/11/2020,00:00.0
S208123,02/12/2020,07/09/2021,1265.15,89677.44,4218.57,2227.31,690,1,172.5,99997.7,77058,78630,NM,121,509-547-8864,02/12/2020,00:00.0
S216007,14/01/2021,03/12/2021,1657.34,228271.21,5068.28,1684.89,1000,1,823.25,174978.14,112132,107500,HF,211,509-547-8864,14/01/2021,00:00.0
S216027,22/02/2021,27/10/2021,134.46,139307.7,2796.3,1544.56,560,1,124,165354.23,120710,113830,HF,166,509-547-8864,22/02/2021,00:00.0
S207128,24/11/2020,01/07/2021,824.11,48608.38,1123.4,869.1,680,1,132,0.01,44470,44470,NULL,70,509-547-8864,24/11/2020,00:00.0
S216006,13/01/2021,08/09/2021,965.92,129067.84,1678.69,784.26,2140,2,1834.64,152635.83,113485,111350,HF,159,509-547-8864,13/01/2021,00:00.0
S216030,23/02/2021,29/09/2021,66.15,100525.99,1817.06,346.3,1740,2,234,162849.37,120213,116090,HF,140,509-547-8864,23/02/2021,00:00.0
S219072,08/01/2021,01/05/2022,8761.4,261485.24,5030.58,667.2,2820,3,868.31,94612.62,77537,72380,X,190,509-547-8864,08/01/2021,00:00.0
S207117,16/11/2020,01/07/2021,1679.75,88361.9,4964.05,957.7,1790,3,380,118023.55,90585,83930,HF,136,509-547-8864,16/11/2020,00:00.0
S218023,17/02/2021,16/03/2022,369.22,195833.96,912.51,699.97,1650,2,442.4,0.01,279170,279170,ST,304,509-547-8864,17/02/2021,00:00.0
S219078,28/01/2021,03/02/2022,898.28,125791.65,2476.98,147.8,6639,6,4300.93,55887.83,54780,53210,X,110,509-547-8864,28/01/2021,00:00.0
PS90196,23/12/2019,09/04/2021,10609.35,214665.94,4852.02,2293.43,890,1,240,78258.53,84604,76640,X,218,509-547-8864,23/12/2019,00:00.0
S209068,14/12/2020,30/09/2021,1995.86,204077.79,2296.89,138.09,650,1,196.25,130458.36,146804,145660,X,210,509-547-8864,14/12/2020,00:00.0
S216000,10/01/2021,25/06/2021,472.47,31756.44,575.51,210.42,1090,1,303.75,97746.76,75692,72205,HF,70,509-547-8864,10/01/2021,00:00.0
S219073,08/01/2021,28/10/2021,1385.1,192903.85,2404.07,596.58,5572,4,3249.06,145934.54,151684,150530,X,210,509-547-8864,08/01/2021,00:00.0
S207122,19/11/2020,01/07/2021,1274.05,77867.67,1306.22,1072.99,1020,1,241.25,0.02,78820,78820,ST,108,509-547-8864,19/11/2020,00:00.0
S207111,12/11/2020,03/06/2021,1041.93,43885.04,6112.74,1710.67,620,1,61.5,90552.48,74125,72560,NULL,87,509-547-8864,12/11/2020,00:00.0
S218021,16/02/2021,03/03/2022,508.95,178549.23,489.15,586.8,540,1,58,0.01,420690,420690,ST,377,509-547-8864,16/02/2021,00:00.0
S207145,21/12/2020,29/07/2021,1217.98,92222.67,1575.5,377.76,1080,1,875.16,135559.95,103237,100860,NULL,136,509-547-8864,21/12/2020,00:00.0
